"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2025.11,2025.12,2026.01,2026.02,2026.03,2026.04
"아파트","경남",창원,의창,소계,76.79808492,76.86371453,76.96236163,76.77807807,76.79736704,76.68410979
"아파트","강원",소계,소계,소계,76.63040597,76.60805927,76.59844106,76.63297958,76.72331382,76.71494822
"아파트","충북",청주,흥덕,소계,76.53557518,76.80469583,76.80465171,76.82810982,76.89260972,76.84650744
"아파트","경남",통영,소계,소계,76.2237895,76.31952612,76.36407961,76.3925328,76.55779452,76.64245478
"아파트","부산",서부산권,사상,소계,76.08428187,76.16027611,76.33563248,76.52829987,76.66380517,76.76212458
"아파트","전남",무안,소계,소계,75.99250362,75.78818866,75.39863764,75.28390775,75.06843435,74.64363481
"아파트","충남",계룡,소계,소계,75.84884218,75.86890777,75.95887094,76.04388199,76.02917663,76.09424224
"아파트","경기",경원권,포천,소계,75.74763643,75.8365557,76.06848536,76.17551244,76.1554161,76.22644727
"연립다세대","울산",소계,소계,소계,75.55141396,75.62548781,75.75424637,75.78971873,75.79595291,75.88242546
"아파트","경북",경주,소계,소계,75.46765096,75.56334786,75.60344931,75.57265674,75.53277901,75.54646921
"아파트","경기",경부2권,안성,소계,75.22704504,75.38899427,75.56501941,75.67358834,75.81110396,75.95123326
"아파트","경남",밀양,소계,소계,75.06986156,75.46757769,75.72644246,75.81843287,75.9171137,75.91031409
"아파트","울산",북,소계,소계,74.97972016,74.91652615,75.07208449,75.24398955,75.49414767,75.74706605
"아파트","부산",서부산권,북,소계,74.84721667,75.2176161,75.44355896,75.62560211,75.87386684,75.96019851
"아파트","부산",중부산권,중,소계,74.28242618,74.31452713,74.37134739,74.42540173,74.48347342,74.58462275
"아파트","경북",김천,소계,소계,74.071871,74.01682306,73.93318177,73.88675671,73.8434835,73.8037034
"아파트","울산",소계,소계,소계,74.04503422,73.98005147,74.05597172,74.08409936,74.20187379,74.28644398
"아파트","지방",소계,소계,소계,73.95676464,74.0400494,74.16404395,74.25868684,74.41947379,74.55223601
"아파트","부산",서부산권,소계,소계,73.71689383,73.97807827,74.21903061,74.37734941,74.64052026,74.79435444
"아파트","충남",보령,소계,소계,73.54051412,73.48997829,73.47307015,73.53935853,73.44840387,73.58791999
